LineNum,State,Colonies at start of Month Range,Maximum Colonies ,Lost Colonies,Percent Lost Colonies,Added Colonies,Renovated Colonies,Percent Renovated,Month Range,Year
33,Pennsylvania,15000,15000,2900,19,370,320,2,January-March,2019
34,South Carolina,12000,13000,690,5,2000,340,3,January-March,2019
35,South Dakota,18500,18500,1100,6,0,0,0,January-March,2019
36,Tennessee,6000,7000,1500,21,240,320,5,January-March,2019
37,Texas,260000,330000,17000,5,61000,35000,11,January-March,2019
38,Utah,8500,11000,1800,16,900,0,0,January-March,2019
39,Vermont,6500,6500,260,4,50,0,0,January-March,2019
40,Virginia,5500,5500,1100,20,80,110,2,January-March,2019
41,Washington,51000,75000,7000,9,5500,2200,3,January-March,2019
42,West Virginia,5000,7000,1300,19,20,60,1,January-March,2019
43,Wisconsin,16500,17000,3700,22,580,100,1,January-March,2019
44,Wyoming,6500,9500,250,3,0,0,0,January-March,2019
45,Other States 5/,6070,6070,590,10,70,30,0,January-March,2019
47,Alabama,5500,5500,650,12,800,200,4,July-September,2019
48,Arizona,22000,22000,2500,11,430,90,0,July-September,2019
49,Arkansas,28000,28000,6500,23,20,20,0,July-September,2019
50,California,1140000,1580000,235000,15,83000,86000,5,July-September,2019
51,Colorado,5000,7500,320,4,0,0,0,July-September,2019
52,Connecticut,3100,3100,270,9,170,10,0,July-September,2019
53,Florida,300000,315000,46000,15,41000,16500,5,July-September,2019
54,Georgia,120000,129000,14500,11,19500,8000,6,July-September,2019
55,Hawaii,16500,16500,390,2,660,3700,22,July-September,2019
56,Idaho,132000,145000,12500,9,4600,1100,1,July-September,2019
57,Illinois,9000,9000,2300,26,210,80,1,July-September,2019
58,Indiana,6000,6000,710,12,440,280,5,July-September,2019
59,Iowa,7500,11500,1600,14,170,140,1,July-September,2019
60,Kansas,4500,4500,1500,33,370,110,2,July-September,2019
61,Kentucky,3700,4400,890,20,60,30,1,July-September,2019
62,Louisiana,49000,51000,3500,7,9000,16000,31,July-September,2019
63,Maine,7000,7000,470,7,10,30,0,July-September,2019
64,Maryland,8000,8000,2300,29,30,10,0,July-September,2019
65,Massachusetts,3800,3800,680,18,60,20,1,July-September,2019
66,Michigan,24000,33000,6500,20,0,0,0,July-September,2019
67,Minnesota,17000,43000,2200,5,80,470,1,July-September,2019
68,Mississippi,26000,29000,2400,8,3800,1700,6,July-September,2019
69,Missouri,8500,8500,1100,13,80,60,1,July-September,2019
70,Montana,37000,68000,3500,5,1700,1900,3,July-September,2019
71,Nebraska,13500,16500,2500,15,0,0,0,July-September,2019
72,New Jersey,6000,6000,310,5,130,60,1,July-September,2019
73,New Mexico,4800,4800,170,4,0,0,0,July-September,2019
74,New York,24000,24000,3400,14,110,80,0,July-September,2019
75,North Carolina,10500,14500,1700,12,750,890,6,July-September,2019
76,North Dakota,92000,102000,1100,1,0,1300,1,July-September,2019
77,Ohio,10500,12500,3500,28,1700,440,4,July-September,2019
78,Oklahoma,21000,55000,50,0,20,0,0,July-September,2019
79,Oregon,89000,95000,7500,8,8000,1800,2,July-September,2019
80,Pennsylvania,15000,15000,2900,19,370,320,2,July-September,2019
81,South Carolina,12000,13000,690,5,2000,340,3,July-September,2019
82,South Dakota,18500,18500,1100,6,0,0,0,July-September,2019
83,Tennessee,6000,7000,1500,21,240,320,5,July-September,2019
84,Texas,260000,330000,17000,5,61000,35000,11,July-September,2019
85,Utah,8500,11000,1800,16,900,0,0,July-September,2019
